Created with UCDetector 2.0.0	2026-08-05 14:18:36	http://www.ucdetector.org/	Created by class: org.ucdetector.report.TextReport	
HW2.Utils.InputManager.inputDouble(InputManager.java:70)	Change visibility of Method "InputManager.inputDouble(String)" to private	InputManager.inputDouble(String)	org.ucdetector.analyzeMarkerVisibilityPrivate	
HW2.Utils.InputManager.inputDouble(InputManager.java:82)	Change visibility of Method "InputManager.inputDouble(String,NumberSign,double)" to private	InputManager.inputDouble(String,NumberSign,double)	org.ucdetector.analyzeMarkerVisibilityPrivate	
HW2.Utils.InputManager.inputString(InputManager.java:129)	Change visibility of Method "InputManager.inputString(String,boolean,boolean)" to private	InputManager.inputString(String,boolean,boolean)	org.ucdetector.analyzeMarkerVisibilityPrivate	
Lab1.Q3.<init>(Q3.java:6)	Class "Q3" has 0 references	Q3	org.ucdetector.analyzeMarkerReference	
Lab1.Q1.<init>(Q1.java:6)	Class "Q1" has 0 references	Q1	org.ucdetector.analyzeMarkerReference	
Lab1.Q2.<init>(Q2.java:5)	Class "Q2" has 0 references	Q2	org.ucdetector.analyzeMarkerReference	
Lab1.Q4.<init>(Q4.java:6)	Class "Q4" has 0 references	Q4	org.ucdetector.analyzeMarkerReference	
Lab2.Library.<init>(Library.java:5)	Change visibility of Class "Library" to default - May cause compile errors!	Library	org.ucdetector.analyzeMarkerVisibilityDefault	
Lab2.Library.cheapestByAuthor(Library.java:15)	Change visibility of Method "Library.cheapestByAuthor(String)" to default	Library.cheapestByAuthor(String)	org.ucdetector.analyzeMarkerVisibilityDefault	
Lab2.Library.addBook(Library.java:29)	Change visibility of Method "Library.addBook(Book)" to default	Library.addBook(Book)	org.ucdetector.analyzeMarkerVisibilityDefault	
Lab2.Q1.<init>(Q1.java:6)	Class "Q1" has 0 references	Q1	org.ucdetector.analyzeMarkerReference	
Lab2.Book.<init>(Book.java:3)	Change visibility of Class "Book" to default - May cause compile errors!	Book	org.ucdetector.analyzeMarkerVisibilityDefault	
Lab2.Book.Book(Book.java:11)	Change visibility of Constructor "Book.Book(int,String,String,int,double)" to default	Book.Book(int,String,String,int,double)	org.ucdetector.analyzeMarkerVisibilityDefault	
Lab2.Book.isCheaper(Book.java:54)	Method "Book.isCheaper(Book)" has 0 references	Book.isCheaper(Book)	org.ucdetector.analyzeMarkerReference	
Lab2.Book.isSame(Book.java:59)	Change visibility of Method "Book.isSame(Book)" to default	Book.isSame(Book)	org.ucdetector.analyzeMarkerVisibilityDefault	
Lab2.Company.<init>(Company.java:5)	Change visibility of Class "Company" to default - May cause compile errors!	Company	org.ucdetector.analyzeMarkerVisibilityDefault	
Lab2.Company.Company(Company.java:14)	Change visibility of Constructor "Company.Company(int,String,Driver[])" to default	Company.Company(int,String,Driver[])	org.ucdetector.analyzeMarkerVisibilityDefault	
Lab2.Company.bestDriver(Company.java:41)	Change visibility of Method "Company.bestDriver()" to default	Company.bestDriver()	org.ucdetector.analyzeMarkerVisibilityDefault	
Lab2.Driver.<init>(Driver.java:3)	Change visibility of Class "Driver" to default - May cause compile errors!	Driver	org.ucdetector.analyzeMarkerVisibilityDefault	
Lab2.Driver.Driver(Driver.java:14)	Change visibility of Constructor "Driver.Driver(int,double,int)" to private	Driver.Driver(int,double,int)	org.ucdetector.analyzeMarkerVisibilityPrivate	
Lab2.Driver.Driver(Driver.java:21)	Change visibility of Constructor "Driver.Driver(int,String,double,int)" to default	Driver.Driver(int,String,double,int)	org.ucdetector.analyzeMarkerVisibilityDefault	
Lab2.Q2.<init>(Q2.java:6)	Class "Q2" has 0 references	Q2	org.ucdetector.analyzeMarkerReference	
Lab3.Main.<init>(Main.java:7)	Class "Main" has 0 references	Main	org.ucdetector.analyzeMarkerReference	
Lab3.Service.<init>(Service.java:6)	Change visibility of Class "Service" to default - May cause compile errors!	Service	org.ucdetector.analyzeMarkerVisibilityDefault	
Lab3.Service.getRating(Service.java:9)	Change visibility of Method "Service.getRating(Movie[])" to default	Service.getRating(Movie[])	org.ucdetector.analyzeMarkerVisibilityDefault	
Lab3.Service.getNumberOfSubtitles(Service.java:25)	Change visibility of Method "Service.getNumberOfSubtitles(Movie[])" to default	Service.getNumberOfSubtitles(Movie[])	org.ucdetector.analyzeMarkerVisibilityDefault	
Lab3.Service.generateMovieCode(Service.java:36)	Change visibility of Method "Service.generateMovieCode(Movie[])" to default	Service.generateMovieCode(Movie[])	org.ucdetector.analyzeMarkerVisibilityDefault	
Lab3.Service.isContains(Service.java:44)	Change visibility of Method "Service.isContains(Movie[],int)" to private	Service.isContains(Movie[],int)	org.ucdetector.analyzeMarkerVisibilityPrivate	
Lab3.FamilyMovie.<init>(FamilyMovie.java:5)	Change visibility of Class "FamilyMovie" to default - May cause compile errors!	FamilyMovie	org.ucdetector.analyzeMarkerVisibilityDefault	
Lab3.FamilyMovie.FamilyMovie(FamilyMovie.java:10)	Change visibility of Constructor "FamilyMovie.FamilyMovie(String,double,String[],int,String,*)" to default	FamilyMovie.FamilyMovie(String,double,String[],int,String,*)	org.ucdetector.analyzeMarkerVisibilityDefault	
Lab3.Customer.<init>(Customer.java:3)	Change visibility of Class "Customer" to default - May cause compile errors!	Customer	org.ucdetector.analyzeMarkerVisibilityDefault	
Lab3.Customer.Customer(Customer.java:9)	Change visibility of Constructor "Customer.Customer(String,String,String)" to default	Customer.Customer(String,String,String)	org.ucdetector.analyzeMarkerVisibilityDefault	
Lab3.ActionMovie.<init>(ActionMovie.java:5)	Change visibility of Class "ActionMovie" to default - May cause compile errors!	ActionMovie	org.ucdetector.analyzeMarkerVisibilityDefault	
Lab3.ActionMovie.ActionMovie(ActionMovie.java:10)	Change visibility of Constructor "ActionMovie.ActionMovie(String,double,String[],int,int,*)" to default	ActionMovie.ActionMovie(String,double,String[],int,int,*)	org.ucdetector.analyzeMarkerVisibilityDefault	
Lab3.Movie.<init>(Movie.java:5)	Change visibility of Class "Movie" to default - May cause compile errors!	Movie	org.ucdetector.analyzeMarkerVisibilityDefault	
Lab3.Movie.Movie(Movie.java:11)	Change visibility of Constructor "Movie.Movie(String,double,String[],int)" to default	Movie.Movie(String,double,String[],int)	org.ucdetector.analyzeMarkerVisibilityDefault	
Lab3.Order.<init>(Order.java:3)	Change visibility of Class "Order" to default - May cause compile errors!	Order	org.ucdetector.analyzeMarkerVisibilityDefault	
Lab3.Order.Order(Order.java:9)	Change visibility of Constructor "Order.Order(int,String,Movie[])" to default	Order.Order(int,String,Movie[])	org.ucdetector.analyzeMarkerVisibilityDefault	
Lab4.Supervisor.<init>(Supervisor.java:3)	Change visibility of Class "Supervisor" to default - May cause compile errors!	Supervisor	org.ucdetector.analyzeMarkerVisibilityDefault	
Lab4.Supervisor.Supervisor(Supervisor.java:7)	Constructor "Supervisor.Supervisor(String,String)" has 0 references	Supervisor.Supervisor(String,String)	org.ucdetector.analyzeMarkerReference	
Lab4.Teacher.<init>(Teacher.java:3)	Change visibility of Class "Teacher" to default - May cause compile errors!	Teacher	org.ucdetector.analyzeMarkerVisibilityDefault	
Lab4.Teacher.Teacher(Teacher.java:7)	Change visibility of Constructor "Teacher.Teacher(String,String)" to default	Teacher.Teacher(String,String)	org.ucdetector.analyzeMarkerVisibilityDefault	
Lab4.Teacher.Senior(Teacher.java:4)	Change visibility of Constant "Teacher.Senior" to private	Teacher.Senior	org.ucdetector.analyzeMarkerVisibilityPrivate	
Lab4.Teacher.Junior(Teacher.java:4)	Change visibility of Constant "Teacher.Junior" to private	Teacher.Junior	org.ucdetector.analyzeMarkerVisibilityPrivate	
Lab4.EducationalCounselor.<init>(EducationalCounselor.java:3)	Change visibility of Class "EducationalCounselor" to default - May cause compile errors!	EducationalCounselor	org.ucdetector.analyzeMarkerVisibilityDefault	
Lab4.EducationalCounselor.EducationalCounselor(EducationalCounselor.java:11)	Constructor "EducationalCounselor.EducationalCounselor(String,String)" has 0 references	EducationalCounselor.EducationalCounselor(String,String)	org.ucdetector.analyzeMarkerReference	
Lab4.EducationalCounselor.GeneralCounsel(EducationalCounselor.java:5)	Change visibility of Constant "EducationalCounselor.GeneralCounsel" to private	EducationalCounselor.GeneralCounsel	org.ucdetector.analyzeMarkerVisibilityPrivate	
Lab4.EducationalCounselor.EducationalConsultant(EducationalCounselor.java:6)	Change visibility of Constant "EducationalCounselor.EducationalConsultant" to private	EducationalCounselor.EducationalConsultant	org.ucdetector.analyzeMarkerVisibilityPrivate	
Lab4.EducationalCounselor.EducationTeamAdvisor(EducationalCounselor.java:7)	Change visibility of Constant "EducationalCounselor.EducationTeamAdvisor" to private	EducationalCounselor.EducationTeamAdvisor	org.ucdetector.analyzeMarkerVisibilityPrivate	
Lab4.Employee.<init>(Employee.java:3)	Change visibility of Class "Employee" to default - May cause compile errors!	Employee	org.ucdetector.analyzeMarkerVisibilityDefault	
Lab4.Employee.Employee(Employee.java:8)	Change visibility of Constructor "Employee.Employee(String)" to default	Employee.Employee(String)	org.ucdetector.analyzeMarkerVisibilityDefault	
Lab4.Employee.num(Employee.java:5)	Change visibility of Field "Employee.num" to private	Employee.num	org.ucdetector.analyzeMarkerVisibilityPrivate	
Lab4.Employee.name(Employee.java:6)	Change visibility of Field "Employee.name" to private	Employee.name	org.ucdetector.analyzeMarkerVisibilityPrivate	
Lab4.OurEmployees.<init>(OurEmployees.java:5)	Class "OurEmployees" has 0 references	OurEmployees	org.ucdetector.analyzeMarkerReference	
Lab4.SchoolsMethods.<init>(SchoolsMethods.java:3)	Change visibility of Interface "SchoolsMethods" to default - May cause compile errors!	SchoolsMethods	org.ucdetector.analyzeMarkerVisibilityDefault	
Lab6.Stack.<init>(Stack.java:3)	Change visibility of Class "Stack" to default - May cause compile errors!	Stack	org.ucdetector.analyzeMarkerVisibilityDefault	
Lab6.Stack.push(Stack.java:10)	Change visibility of Method "Stack.push(T)" to default	Stack.push(T)	org.ucdetector.analyzeMarkerVisibilityDefault	
Lab6.Stack.push(Stack.java:14)	Method "Stack.push(Node<T>)" has 0 references	Stack.push(Node<T>)	org.ucdetector.analyzeMarkerReference	
Lab6.Stack.pop(Stack.java:25)	Change visibility of Method "Stack.pop()" to default	Stack.pop()	org.ucdetector.analyzeMarkerVisibilityDefault	
Lab6.Stack.peek(Stack.java:31)	Change visibility of Method "Stack.peek()" to default	Stack.peek()	org.ucdetector.analyzeMarkerVisibilityDefault	
Lab6.Register.<init>(Register.java:3)	Change visibility of Class "Register" to default - May cause compile errors!	Register	org.ucdetector.analyzeMarkerVisibilityDefault	
Lab6.Register.Register(Register.java:8)	Constructor "Register.Register(int,Queue<Order>)" has 0 references	Register.Register(int,Queue<Order>)	org.ucdetector.analyzeMarkerReference	
Lab6.Register.num(Register.java:4)	Change visibility of Field "Register.num" to private	Register.num	org.ucdetector.analyzeMarkerVisibilityPrivate	
Lab6.Register.orders(Register.java:5)	Change visibility of Field "Register.orders" to private	Register.orders	org.ucdetector.analyzeMarkerVisibilityPrivate	
Lab6.Q2.<init>(Q2.java:4)	Class "Q2" has 0 references	Q2	org.ucdetector.analyzeMarkerReference	
Lab6.Queue.<init>(Queue.java:3)	Change visibility of Class "Queue" to default - May cause compile errors!	Queue	org.ucdetector.analyzeMarkerVisibilityDefault	
Lab6.Queue.insert(Queue.java:16)	Change visibility of Method "Queue.insert(T)" to default	Queue.insert(T)	org.ucdetector.analyzeMarkerVisibilityDefault	
Lab6.Queue.remove(Queue.java:47)	Change visibility of Method "Queue.remove()" to default	Queue.remove()	org.ucdetector.analyzeMarkerVisibilityDefault	
Lab6.Queue.Head(Queue.java:56)	Change visibility of Method "Queue.Head()" to default	Queue.Head()	org.ucdetector.analyzeMarkerVisibilityDefault	
Lab6.Exam.<init>(Exam.java:3)	Change visibility of Class "Exam" to default - May cause compile errors!	Exam	org.ucdetector.analyzeMarkerVisibilityDefault	
Lab6.Exam.Exam(Exam.java:8)	Change visibility of Constructor "Exam.Exam(String,int,int)" to default	Exam.Exam(String,int,int)	org.ucdetector.analyzeMarkerVisibilityDefault	
Lab6.Order.<init>(Order.java:3)	Change visibility of Class "Order" to default - May cause compile errors!	Order	org.ucdetector.analyzeMarkerVisibilityDefault	
Lab6.Order.total(Order.java:7)	Change visibility of Method "Order.total()" to default	Order.total()	org.ucdetector.analyzeMarkerVisibilityDefault	
Lab6.Order.Order(Order.java:10)	Constructor "Order.Order(int,double)" has 0 references	Order.Order(int,double)	org.ucdetector.analyzeMarkerReference	
Lab6.Q3.<init>(Q3.java:3)	Class "Q3" has 0 references	Q3	org.ucdetector.analyzeMarkerReference	
Lab6.Student.<init>(Student.java:5)	Change visibility of Class "Student" to default - May cause compile errors!	Student	org.ucdetector.analyzeMarkerVisibilityDefault	
Lab6.Student.Student(Student.java:11)	Change visibility of Constructor "Student.Student(String)" to default	Student.Student(String)	org.ucdetector.analyzeMarkerVisibilityDefault	
Lab6.Student.update(Student.java:28)	Change visibility of Method "Student.update(Exam)" to default	Student.update(Exam)	org.ucdetector.analyzeMarkerVisibilityDefault	
Lab6.Student.calcAvg(Student.java:51)	Change visibility of Method "Student.calcAvg()" to default	Student.calcAvg()	org.ucdetector.analyzeMarkerVisibilityDefault	
Lab6.Store.<init>(Store.java:3)	Change visibility of Class "Store" to default - May cause compile errors!	Store	org.ucdetector.analyzeMarkerVisibilityDefault	
Lab6.Store.Store(Store.java:6)	Constructor "Store.Store(Stack<Register>)" has 0 references	Store.Store(Stack<Register>)	org.ucdetector.analyzeMarkerReference	
Lab6.Store.regs(Store.java:4)	Change visibility of Field "Store.regs" to private	Store.regs	org.ucdetector.analyzeMarkerVisibilityPrivate	
Lab6.Node.<init>(Node.java:3)	Change visibility of Class "Node" to default - May cause compile errors!	Node	org.ucdetector.analyzeMarkerVisibilityDefault	
Lab6.Node.Node(Node.java:11)	Change visibility of Constructor "Node.Node(T)" to default	Node.Node(T)	org.ucdetector.analyzeMarkerVisibilityDefault	
Lab6.Node.Node(Node.java:16)	Change visibility of Constructor "Node.Node(T,Node<T>)" to default	Node.Node(T,Node<T>)	org.ucdetector.analyzeMarkerVisibilityDefault	
Lab6.Q1.<init>(Q1.java:3)	Class "Q1" has 0 references	Q1	org.ucdetector.analyzeMarkerReference	
Lecture3.Main.<init>(Main.java:3)	Class "Main" has 0 references	Main	org.ucdetector.analyzeMarkerReference	
Lecture3.A.<init>(A.java:3)	Change visibility of Class "A" to default - May cause compile errors!	A	org.ucdetector.analyzeMarkerVisibilityDefault	
Lecture3.A.A(A.java:12)	Change visibility of Constructor "A.A(int,int,int,String)" to default	A.A(int,int,int,String)	org.ucdetector.analyzeMarkerVisibilityDefault	
Lecture3.A.func(A.java:19)	Method "A.func()" has 0 references	A.func()	org.ucdetector.analyzeMarkerReference	
Lecture3.A.a(A.java:5)	Change visibility of Field "A.a" to private	A.a	org.ucdetector.analyzeMarkerVisibilityPrivate	
Lecture3.A.a(A.java:5)	Field "A.a" is never read	A.a	org.ucdetector.analyzeMarkerReference	
Lecture3.A.b(A.java:5)	Change visibility of Field "A.b" to private	A.b	org.ucdetector.analyzeMarkerVisibilityPrivate	
Lecture3.A.b(A.java:5)	Field "A.b" is never read	A.b	org.ucdetector.analyzeMarkerReference	
Lecture3.A.s(A.java:5)	Change visibility of Field "A.s" to private	A.s	org.ucdetector.analyzeMarkerVisibilityPrivate	
Lecture3.A.s(A.java:5)	Field "A.s" is never read	A.s	org.ucdetector.analyzeMarkerReference	
Lecture3.A.u(A.java:6)	Change visibility of Field "A.u" to private	A.u	org.ucdetector.analyzeMarkerVisibilityPrivate	
Lecture3.A.u(A.java:6)	Field "A.u" is never read	A.u	org.ucdetector.analyzeMarkerReference	
Lecture3.B.<init>(B.java:3)	Class "B" has 0 references	B	org.ucdetector.analyzeMarkerReference	
Lecture3.Task.Teacher.<init>(Teacher.java:3)	Change visibility of Class "Teacher" to default - May cause compile errors!	Teacher	org.ucdetector.analyzeMarkerVisibilityDefault	
Lecture3.Task.Teacher.Teacher(Teacher.java:6)	Constructor "Teacher.Teacher(String,int,int,int)" has 0 references	Teacher.Teacher(String,int,int,int)	org.ucdetector.analyzeMarkerReference	
Lecture3.Task.Student.<init>(Student.java:3)	Class "Student" has 0 references	Student	org.ucdetector.analyzeMarkerReference	
Lecture3.Task.Person.<init>(Person.java:3)	Change visibility of Class "Person" to default - May cause compile errors!	Person	org.ucdetector.analyzeMarkerVisibilityDefault	
Lecture3.Task.Person.Person(Person.java:7)	Change visibility of Constructor "Person.Person(String,int)" to default	Person.Person(String,int)	org.ucdetector.analyzeMarkerVisibilityDefault	
Lecture3.Task.Employee.<init>(Employee.java:3)	Change visibility of Class "Employee" to default - May cause compile errors!	Employee	org.ucdetector.analyzeMarkerVisibilityDefault	
Lecture3.Task.Employee.Employee(Employee.java:6)	Change visibility of Constructor "Employee.Employee(String,int,int)" to default	Employee.Employee(String,int,int)	org.ucdetector.analyzeMarkerVisibilityDefault	
Lecture3.Task.Manager.<init>(Manager.java:5)	Class "Manager" has 0 references	Manager	org.ucdetector.analyzeMarkerReference	
Lecture4.Main.<init>(Main.java:3)	Class "Main" has 0 references	Main	org.ucdetector.analyzeMarkerReference	
Lecture4.Workers.<init>(Workers.java:3)	Class "Workers" has 0 references	Workers	org.ucdetector.analyzeMarkerReference	
Lecture4.Project.<init>(Project.java:3)	Change visibility of Class "Project" to default - May cause compile errors!	Project	org.ucdetector.analyzeMarkerVisibilityDefault	
Lecture4.Project.Project(Project.java:6)	Constructor "Project.Project(int,String)" has 0 references	Project.Project(int,String)	org.ucdetector.analyzeMarkerReference	
Lecture4.Course.<init>(Course.java:3)	Change visibility of Class "Course" to default - May cause compile errors!	Course	org.ucdetector.analyzeMarkerVisibilityDefault	
Lecture4.Course.Course(Course.java:8)	Constructor "Course.Course(int,String)" has 0 references	Course.Course(int,String)	org.ucdetector.analyzeMarkerReference	
Lecture4.Student.<init>(Student.java:3)	Class "Student" has 0 references	Student	org.ucdetector.analyzeMarkerReference	
Lecture4.MaxThings.<init>(MaxThings.java:3)	Change visibility of Interface "MaxThings" to default - May cause compile errors!	MaxThings	org.ucdetector.analyzeMarkerVisibilityDefault	
Lecture5.Student.<init>(Student.java:3)	Change visibility of Class "Student" to default - May cause compile errors!	Student	org.ucdetector.analyzeMarkerVisibilityDefault	
Lecture5.Student.Student(Student.java:8)	Change visibility of Constructor "Student.Student(String,int,double)" to default	Student.Student(String,int,double)	org.ucdetector.analyzeMarkerVisibilityDefault	
Lecture5.Main.<init>(Main.java:7)	Class "Main" has 0 references	Main	org.ucdetector.analyzeMarkerReference	
Lecture6.Main.<init>(Main.java:7)	Class "Main" has 0 references	Main	org.ucdetector.analyzeMarkerReference	
Models.QueueHelper.<init>(QueueHelper.java:3)	Class "QueueHelper" has 0 references	QueueHelper	org.ucdetector.analyzeMarkerReference	
Models.Stack.<init>(Stack.java:3)	Class "Stack" has 0 references	Stack	org.ucdetector.analyzeMarkerReference	
Models.List.insert(List.java:25)	Change visibility of Method "List.insert(Node<T>,T)" to private	List.insert(Node<T>,T)	org.ucdetector.analyzeMarkerVisibilityPrivate	
Models.List.len(List.java:38)	Method "List.len()" has 0 references	List.len()	org.ucdetector.analyzeMarkerReference	
Models.List.prtList(List.java:50)	Method "List.prtList()" has 0 references	List.prtList()	org.ucdetector.analyzeMarkerReference	
Models.List.remove(List.java:58)	Method "List.remove(Node<T>)" has 0 references	List.remove(Node<T>)	org.ucdetector.analyzeMarkerReference	
Models.List.findInList(List.java:76)	Method "List.findInList(T)" has 0 references	List.findInList(T)	org.ucdetector.analyzeMarkerReference	
Models.List.copy(List.java:87)	Change visibility of Method "List.copy(List<String>)" to private	List.copy(List<String>)	org.ucdetector.analyzeMarkerVisibilityPrivate	
Models.List.append(List.java:99)	Method "List.append(List<String>,List<String>)" has 0 references	List.append(List<String>,List<String>)	org.ucdetector.analyzeMarkerReference	
Models.Node.Node(Node.java:11)	Change visibility of Constructor "Node.Node(T)" to default	Node.Node(T)	org.ucdetector.analyzeMarkerVisibilityDefault	
Testing.MultiType.<init>(MultiType.java:3)	Class "MultiType" has 0 references	MultiType	org.ucdetector.analyzeMarkerReference	
Testing.MySystem.<init>(MySystem.java:3)	Change visibility of Class "MySystem" to default - May cause compile errors!	MySystem	org.ucdetector.analyzeMarkerVisibilityDefault	
Testing.MySystem.MySystem(MySystem.java:9)	Change visibility of Constructor "MySystem.MySystem(String)" to default	MySystem.MySystem(String)	org.ucdetector.analyzeMarkerVisibilityDefault	
Testing.MySystem.console(MySystem.java:14)	Change visibility of Field "MySystem.console" to default	MySystem.console	org.ucdetector.analyzeMarkerVisibilityDefault	
Testing.MySystem.<init>(MySystem.java:17)	Change visibility of ClassMember "MySystem.ConsoleGroup" to private - May cause compile errors!	MySystem.ConsoleGroup	org.ucdetector.analyzeMarkerVisibilityPrivate	
Testing.MySystem.write(MySystem.java:20)	Change visibility of Method "MySystem.ConsoleGroup.write(String)" to default	MySystem.ConsoleGroup.write(String)	org.ucdetector.analyzeMarkerVisibilityDefault	
Testing.MySystem.clear(MySystem.java:25)	Method "MySystem.ConsoleGroup.clear()" has 0 references	MySystem.ConsoleGroup.clear()	org.ucdetector.analyzeMarkerReference	
Testing.Coded.<init>(Coded.java:6)	Change visibility of Class "Coded" to default - May cause compile errors!	Coded	org.ucdetector.analyzeMarkerVisibilityDefault	
Testing.Coded.Coded(Coded.java:12)	Change visibility of Constructor "Coded.Coded(int)" to default	Coded.Coded(int)	org.ucdetector.analyzeMarkerVisibilityDefault	
Testing.Coded.isIn(Coded.java:26)	Method "Coded.isIn(ArrayList<T>)" has 0 references	Coded.isIn(ArrayList<T>)	org.ucdetector.analyzeMarkerReference	
Testing.Coded.generateCode(Coded.java:47)	Method "Coded.generateCode(ArrayList<T>)" has 0 references	Coded.generateCode(ArrayList<T>)	org.ucdetector.analyzeMarkerReference	
Testing.Coded.isContains(Coded.java:53)	Change visibility of Method "Coded.isContains(ArrayList<T>,int)" to private	Coded.isContains(ArrayList<T>,int)	org.ucdetector.analyzeMarkerVisibilityPrivate	
Testing.Coded.defaultVal(Coded.java:7)	Change visibility of Constant "Coded.defaultVal" to private	Coded.defaultVal	org.ucdetector.analyzeMarkerVisibilityPrivate	
Testing.Coded.random(Coded.java:8)	Change visibility of Constant "Coded.random" to private	Coded.random	org.ucdetector.analyzeMarkerVisibilityPrivate	
Testing.Coded.code(Coded.java:10)	Change visibility of Field "Coded.code" to private	Coded.code	org.ucdetector.analyzeMarkerVisibilityPrivate	
Testing.Code.<init>(Code.java:3)	Change visibility of Class "Code" to default - May cause compile errors!	Code	org.ucdetector.analyzeMarkerVisibilityDefault	
Testing.Code.Code(Code.java:5)	Change visibility of Constructor "Code.Code(int)" to default	Code.Code(int)	org.ucdetector.analyzeMarkerVisibilityDefault	
Testing.Main.<init>(Main.java:5)	Class "Main" has 0 references	Main	org.ucdetector.analyzeMarkerReference	
